true\pred,Ac,As,Cb,Cc,Ci,Cs,Ct,Cu,Ns,Sc,St
Ac,9,2,0,2,0,3,0,3,1,3,0
As,1,11,2,1,0,2,0,0,3,0,0
Cb,0,0,17,0,0,2,0,2,2,1,1
Cc,3,0,0,16,3,6,0,0,0,0,0
Ci,3,0,0,2,4,3,2,0,0,1,0
Cs,1,2,0,3,1,15,0,1,0,5,2
Ct,0,0,0,0,0,1,19,0,0,0,0
Cu,0,1,5,0,0,3,0,9,0,0,1
Ns,0,1,1,0,0,6,0,0,19,1,0
Sc,1,0,1,0,0,3,0,0,2,23,4
St,4,0,0,0,1,4,0,0,3,7,2
