epoch,lr,train_loss,val_loss,val_top1,val_top3,sec
1,0.00029815325108927063,1.9917456244012992,1.7992716159820556,0.4000000007152557,0.7359999990463257,270.9452369213104
2,0.00029265847744427303,1.7151679359633347,1.7111972980499268,0.4519999966621399,0.7880000023841858,325.2591485977173
3,0.0002836509786282552,1.5602620486555427,1.6480797491073609,0.5000000009536744,0.8320000023841858,501.9874849319458
4,0.0002713525491562421,1.492133889409709,1.6309432849884034,0.5239999947547913,0.824000006198883,480.79342246055603
5,0.0002560660171779821,1.429727337513064,1.6784681825637817,0.4960000004768372,0.8239999971389771,480.5770380496979
6,0.000238167787843871,1.2031634584436275,1.6640012874603272,0.5079999952316284,0.8160000019073487,488.7472565174103
7,0.00021809857496093204,1.1378783847898097,1.6702705345153808,0.5359999942779541,0.8479999966621399,488.3991222381592
8,0.00019635254915624216,1.1285104407465516,1.6939559144973755,0.5239999947547913,0.8520000014305115,487.35561203956604
9,0.00017346516975603468,1.0820195428256332,1.697729868888855,0.5599999995231628,0.8279999966621399,487.1718587875366
10,0.00015000000000000001,1.0535602113883484,1.7027314672470093,0.5319999947547912,0.8280000014305114,486.94287300109863
11,0.0001265348302439654,0.9824965181021855,1.753445484161377,0.512,0.8199999971389771,487.1526925563812
12,0.0001036474508437579,1.0035607605732133,1.6876511011123658,0.544,0.843999997138977,488.5421919822693
